All rectangles
begin	end	length	x1	x2
8	18	2	285	287
13	18	3	725	728
8	18	3	154	157
8	13	3	638	641
8	13	2	722	724
8	15	1	457	458
13	18	2	-1	-1
13	17	6	-1	-1
8	13	1	751	752
8	13	2	712	714
13	18	2	-1	-1
8	13	4	595	599
8	12	4	773	777
8	13	1	762	763
13	15	8	-1	-1
9	14	6	887	893
8	14	1	478	479
8	17	4	323	327
8	14	4	461	465
8	13	1	766	767
13	18	3	961	964
11	16	4	928	932
13	18	4	632	636
8	13	3	641	644
8	14	3	472	475
13	18	2	-1	-1
12	17	2	783	785
11	16	1	815	816
13	18	1	942	943
13	18	2	-1	-1
13	18	6	567	573
8	18	4	114	118
8	18	2	271	273
8	18	1	300	301
9	14	8	872	880
13	18	2	-1	-1
8	16	4	377	381
8	17	2	358	360
8	18	4	106	110
13	18	3	970	973
8	13	7	553	560
8	18	2	267	269
8	18	2	265	267
8	13	1	756	757
8	18	3	223	226
8	16	2	410	412
12	17	2	787	789
8	18	6	42	48
13	16	4	-1	-1
8	14	4	465	469
12	17	1	944	945
13	18	2	-1	-1
11	16	2	918	920
8	13	10	485	495
13	18	1	-1	-1
8	10	3	842	845
8	13	2	694	696
8	18	2	255	257
8	18	2	239	241
17	18	2	345	347
8	17	2	362	364
17	18	4	332	336
9	14	2	899	901
8	13	2	698	700
13	18	4	644	648
8	13	7	546	553
13	18	2	-1	-1
13	18	1	-1	-1
8	13	1	760	761
17	18	4	336	340
8	18	2	247	249
13	18	2	-1	-1
8	18	1	309	310
8	18	1	293	294
8	18	3	217	220
9	15	2	870	872
8	18	2	291	293
8	13	2	708	710
8	18	3	220	223
8	17	2	356	358
8	15	2	449	451
8	12	6	767	773
8	18	4	126	130
13	18	2	-1	-1
13	18	2	997	999
8	15	2	439	441
13	18	2	985	987
8	18	4	94	98
8	13	1	745	746
8	12	2	783	785
8	13	4	615	619
8	16	1	417	418
8	18	3	145	148
13	18	2	983	985
8	13	2	724	726
13	18	4	636	640
13	18	2	979	981
8	18	5	69	74
8	10	7	816	823
10	15	9	821	830
8	13	1	753	754
13	18	3	925	928
13	18	5	584	589
8	17	6	312	318
15	18	2	419	421
13	18	3	955	958
11	14	2	937	939
8	15	3	433	436
13	16	3	-1	-1
13	16	2	-1	-1
8	17	4	331	335
8	10	3	833	836
13	18	4	664	668
8	13	4	619	623
8	11	1	814	815
8	18	4	138	142
14	15	2	887	889
9	14	7	880	887
13	14	4	-1	-1
8	9	4	864	868
13	14	3	-1	-1
8	18	1	301	302
13	18	3	964	967
8	18	4	134	138
13	18	5	599	604
8	16	5	372	377
8	17	4	327	331
17	18	7	312	319
13	18	9	485	494
8	16	6	366	372
8	18	4	122	126
8	11	5	790	795
13	18	1	-1	-1
13	18	1	-1	-1
8	13	8	522	530
13	18	2	-1	-1
8	16	4	381	385
8	13	3	665	668
8	12	1	788	789
13	18	5	589	594
8	18	1	307	308
8	18	4	110	114
8	15	1	459	460
13	18	7	527	534
13	18	4	656	660
8	13	3	662	665
13	18	1	-1	-1
8	13	8	538	546
13	18	3	958	961
8	18	2	253	255
8	18	2	251	253
8	13	1	749	750
13	14	3	-1	-1
8	13	2	718	720
9	18	3	858	861
8	16	1	414	415
11	16	2	934	936
8	17	3	347	350
13	18	2	-1	-1
8	14	3	475	478
13	18	2	-1	-1
8	16	2	406	408
13	18	4	668	672
8	18	1	306	307
8	13	4	607	611
13	17	2	-1	-1
8	18	3	151	154
13	17	4	-1	-1
8	18	4	90	94
17	18	3	340	343
13	18	1	-1	-1
13	16	7	-1	-1
13	18	1	-1	-1
13	18	4	684	688
13	18	4	688	692
9	18	5	849	854
8	13	3	659	662
