All rectangles
Begin,End,Length,x1,x2
32,42,5,40,45
40,41,4,-1,-1
32,37,4,327,331
32,37,3,358,361
8,15,3,236,239
32,37,2,-1,-1
15,17,14,-1,-1
38,41,1,252,253
32,40,3,205,208
8,13,3,323,326
13,18,4,-1,-1
12,17,2,-1,-1
16,17,7,-1,-1
13,18,4,-1,-1
8,12,6,-1,-1
8,13,1,261,262
35,41,4,-1,-1
32,33,2,369,371
32,42,8,8,16
8,13,3,338,341
8,18,2,152,154
40,41,2,-1,-1
38,40,9,359,368
35,36,7,-1,-1
13,18,2,252,254
8,18,4,78,82
9,15,1,248,249
40,42,25,-1,-1
32,37,1,-1,-1
32,37,2,-1,-1
32,42,2,143,145
41,42,5,235,240
11,18,5,243,248
17,18,1,238,239
37,42,4,280,284
33,42,3,-1,-1
37,42,5,265,270
8,18,3,130,133
13,18,4,375,379
41,42,5,248,253
37,42,2,327,329
9,14,2,-1,-1
8,18,4,74,78
9,15,2,249,251
38,39,2,-1,-1
32,34,3,-1,-1
13,18,1,262,263
8,14,1,-1,-1
8,18,2,154,156
14,17,2,-1,-1
13,16,6,-1,-1
32,33,1,378,379
11,16,2,-1,-1
32,37,1,-1,-1
37,42,4,284,288
36,42,1,-1,-1
38,42,1,247,248
32,33,4,365,369
15,16,6,237,243
32,37,4,331,335
16,18,16,199,215
8,10,2,-1,-1
11,12,1,-1,-1
32,42,2,147,149
8,11,1,247,248
8,18,3,121,124
8,13,3,341,344
8,17,1,197,198
39,40,2,375,377
8,18,2,156,158
8,13,1,262,263
32,42,1,161,162
15,16,3,248,251
10,15,2,-1,-1
36,41,2,-1,-1
32,37,2,-1,-1
8,18,4,54,58
40,42,27,197,224
8,15,3,239,242
13,18,2,-1,-1
9,12,3,-1,-1
8,18,2,162,164
8,13,3,344,347
9,18,5,-1,-1
32,42,1,153,154
8,13,2,363,365
8,16,2,221,223
35,40,2,-1,-1
32,40,1,221,222
12,17,2,-1,-1
14,16,4,-1,-1
8,18,3,115,118
8,13,2,361,363
32,42,3,81,84
12,17,2,-1,-1
8,18,3,97,100
35,40,4,-1,-1
8,18,4,70,74
12,17,3,-1,-1
8,13,3,329,332
12,15,4,-1,-1
16,17,7,-1,-1
39,40,1,379,380
14,17,6,-1,-1
32,37,6,309,315
32,42,2,149,151
13,18,4,-1,-1
36,41,1,-1,-1
32,42,1,157,158
32,42,4,65,69
37,42,4,288,292
12,17,2,-1,-1
32,37,2,-1,-1
8,13,5,293,298
12,14,1,-1,-1
33,38,1,377,378
32,33,5,373,378
37,42,1,333,334
34,39,1,368,369
40,41,6,359,365
33,42,4,-1,-1
32,39,2,237,239
8,15,1,242,243
8,18,1,175,176
13,18,1,261,262
16,18,3,240,243
37,42,4,300,304
41,42,13,357,370
8,13,2,357,359
32,37,1,-1,-1
32,37,1,-1,-1
8,18,2,160,162
12,17,2,-1,-1
40,41,2,365,367
32,41,4,182,186
13,18,4,-1,-1
8,18,1,176,177
32,42,4,49,53
34,39,1,-1,-1
32,37,1,-1,-1
8,13,3,326,329
32,36,1,-1,-1
8,12,2,-1,-1
32,39,2,233,235
8,15,2,-1,-1
8,18,2,150,152
32,42,7,16,23
32,34,3,-1,-1
8,15,7,225,232
13,18,2,254,256
17,18,3,232,235
32,37,10,253,263
37,42,4,308,312
8,13,1,260,261
32,42,2,145,147
17,18,5,193,198
36,41,1,-1,-1
8,15,2,-1,-1
8,13,1,258,259
32,41,4,170,174
8,13,1,256,257
17,18,1,237,238
32,41,5,165,170
41,42,7,228,235
12,18,5,-1,-1
32,37,3,349,352
36,41,1,-1,-1
8,13,1,257,258
32,42,2,127,129
8,9,6,-1,-1
37,41,5,342,347
8,18,2,144,146
8,14,1,-1,-1
32,37,2,-1,-1
8,13,2,355,357
32,42,4,53,57
13,18,4,-1,-1
11,16,1,-1,-1
33,38,4,373,377
32,37,8,272,280
32,42,2,125,127
8,18,3,106,109
37,41,6,336,342
9,14,6,-1,-1
14,16,1,251,252
8,13,1,259,260
13,18,4,-1,-1
32,37,3,346,349
9,17,2,-1,-1
41,42,9,185,194
32,42,2,117,119
