8,18,2,213,215
13,18,3,584,587
8,18,3,120,123
8,13,3,500,503
8,13,2,575,577
8,15,1,352,353
13,18,2,791,793
13,17,6,899,905
8,13,1,597,598
8,13,2,557,559
13,18,2,749,751
8,13,4,484,488
8,12,4,621,625
8,13,1,613,614
13,15,8,948,956
9,14,6,723,729
8,14,1,375,376
8,17,4,260,264
8,14,4,359,363
8,13,1,605,606
13,18,3,608,611
11,16,4,763,767
13,18,4,562,566
8,13,3,545,548
8,14,3,366,369
13,18,2,827,829
12,17,2,627,629
11,16,1,771,772
13,18,1,888,889
13,18,2,831,833
13,18,6,451,457
8,18,4,70,74
8,18,2,183,185
8,18,1,223,224
9,14,8,708,716
13,18,2,821,823
8,16,4,290,294
8,17,2,273,275
8,18,4,62,66
13,18,3,566,569
8,13,7,439,446
8,18,2,189,191
8,18,2,191,193
8,13,1,598,599
8,18,3,174,177
8,16,2,310,312
12,17,2,625,627
8,18,6,7,13
13,16,4,936,940
8,14,4,355,359
12,17,1,637,638
13,18,2,837,839
11,16,2,769,771
8,13,10,388,398
13,18,1,614,615
8,10,3,678,681
8,13,2,581,583
8,18,2,203,205
8,18,2,205,207
17,18,2,271,273
8,17,2,277,279
17,18,4,258,262
9,14,2,737,739
8,13,2,559,561
13,18,4,554,558
8,13,7,446,453
13,18,2,801,803
13,18,1,885,886
8,13,1,596,597
17,18,4,262,266
8,18,2,181,183
13,18,2,797,799
8,18,1,230,231
8,18,1,228,229
8,18,3,171,174
9,15,2,706,708
8,18,2,207,209
8,13,2,583,585
8,18,3,105,108
8,17,2,275,277
8,15,2,350,352
8,12,6,615,621
8,18,4,98,102
13,18,2,787,789
13,18,2,783,785
8,15,2,340,342
13,18,2,845,847
8,18,4,94,98
8,13,1,606,607
8,12,2,627,629
8,13,4,496,500
8,16,1,321,322
8,18,3,111,114
13,18,2,865,867
8,13,2,565,567
13,18,4,550,554
13,18,2,853,855
8,18,5,41,46
8,10,7,658,665
10,15,9,662,671
8,13,1,610,611
13,18,3,599,602
13,18,5,468,473
8,17,6,238,244
15,18,2,322,324
13,18,3,596,599
11,14,2,772,774
8,15,3,332,335
13,16,3,940,943
13,16,2,945,947
8,17,4,248,252
8,10,3,675,678
13,18,4,494,498
8,13,4,480,484
8,11,1,656,657
8,18,4,86,90
14,15,2,716,718
9,14,7,716,723
13,14,4,980,984
8,9,4,702,706
13,14,3,990,993
8,18,1,234,235
13,18,3,611,614
8,18,4,82,86
13,18,5,463,468
8,16,5,285,290
8,17,4,256,260
17,18,7,238,245
13,18,9,378,387
8,16,6,279,285
8,18,4,78,82
8,11,5,638,643
13,18,1,890,891
13,18,1,886,887
8,13,8,407,415
13,18,2,859,861
8,16,4,294,298
8,13,3,533,536
8,12,1,636,637
13,18,5,473,478
8,18,1,226,227
8,18,4,74,78
8,15,1,354,355
13,18,7,432,439
13,18,4,546,550
8,13,3,548,551
13,18,1,874,875
8,13,8,415,423
13,18,3,740,743
8,18,2,177,179
8,18,2,195,197
8,13,1,604,605
13,14,3,984,987
8,13,2,577,579
9,18,3,696,699
8,16,1,318,319
11,16,2,689,691
8,17,3,267,270
13,18,2,869,871
8,14,3,363,366
13,18,2,847,849
8,16,2,316,318
13,18,4,510,514
8,18,1,231,232
8,13,4,472,476
13,17,2,915,917
8,18,3,102,105
13,17,4,905,909
8,18,4,66,70
17,18,3,266,269
13,18,1,872,873
13,16,7,919,926
13,18,1,875,876
13,18,4,478,482
13,18,4,482,486
9,18,5,691,696
8,13,3,527,530
15,18,2,326,328
13,18,3,774,777
13,15,2,978,980
8,9,1,717,718
13,18,2,857,859
13,18,4,514,518
13,18,2,861,863
13,18,3,780,783
8,13,1,608,609
8,18,6,19,25
14,15,3,374,377
8,18,3,108,111
9,16,1,705,706
10,15,1,688,689
13,17,3,912,915
8,13,5,459,464
13,18,1,876,877
8,17,4,244,248
8,18,3,114,117
8,17,4,252,256
12,17,2,629,631
10,15,2,685,687
8,13,1,607,608
13,18,1,884,885
9,13,6,740,746
8,18,4,54,58
13,18,4,486,490
8,18,2,201,203
13,18,2,863,865
15,16,1,343,344
8,18,2,199,201
8,9,3,710,713
13,16,1,947,948
8,18,2,197,199
13,17,7,892,899
13,18,4,538,542
10,15,7,671,678
13,18,6,445,451
13,15,7,956,963
13,18,2,849,851
8,16,2,314,316
13,14,1,993,994
13,18,1,873,874
8,18,3,117,120
13,17,2,917,919
8,13,1,603,604
8,13,2,571,573
8,12,1,637,638
13,18,1,891,892
8,11,4,643,647
8,13,10,378,388
8,14,1,377,378
13,18,1,889,890
13,18,8,387,395
13,18,2,851,853
8,18,1,225,226
8,18,3,123,126
13,18,2,855,857
16,17,1,285,286
9,13,5,746,751
8,10,4,671,675
8,13,2,567,569
9,14,2,733,735
13,15,2,976,978
8,13,3,542,545
8,13,8,431,439
9,12,3,751,754
8,18,4,50,54
16,17,3,282,285
12,17,1,752,753
15,17,8,328,336
13,18,2,867,869
13,18,3,572,575
11,12,1,781,782
8,13,2,563,565
8,18,3,126,129
12,18,1,621,622
8,15,7,322,329
12,17,3,622,625
8,18,3,129,132
11,17,4,643,647
8,9,6,691,697
13,18,6,439,445
13,18,4,530,534
13,15,4,963,967
8,17,3,270,273
8,13,1,612,613
8,13,4,488,492
15,18,2,324,326
13,18,3,587,590
8,10,3,681,684
8,18,1,227,228
8,18,4,58,62
13,17,3,909,912
8,13,3,530,533
13,18,2,789,791
8,18,5,31,36
8,18,3,132,135
8,18,1,229,230
13,18,3,569,572
8,13,2,585,587
13,18,2,795,797
8,18,3,135,138
8,13,1,614,615
13,18,2,799,801
8,18,6,25,31
8,14,1,373,374
9,17,2,699,701
8,13,9,398,407
8,18,2,187,189
8,9,1,716,717
12,18,5,615,620
13,16,4,932,936
15,16,6,337,343
13,18,4,558,562
13,18,2,805,807
8,16,1,319,320
8,18,2,185,187
8,18,3,138,141
11,13,4,774,778
8,18,3,141,144
8,12,1,635,636
12,14,1,753,754
8,13,2,591,593
8,13,1,599,600
9,14,4,729,733
8,18,4,46,50
14,17,4,355,359
8,13,1,602,603
8,15,2,346,348
13,18,2,807,809
8,13,3,539,542
8,9,4,706,710
13,18,3,602,605
8,16,2,306,308
13,18,2,843,845
8,13,3,536,539
13,18,2,841,843
13,18,2,839,841
8,18,3,144,147
8,13,2,589,591
8,13,2,553,555
8,16,2,304,306
16,18,3,279,282
13,18,7,411,418
13,18,1,880,881
8,18,1,233,234
8,13,3,521,524
13,18,2,829,831
13,18,2,825,827
13,14,3,987,990
8,13,1,609,610
8,13,2,587,589
13,18,2,823,825
8,15,3,329,332
8,16,3,301,304
13,18,4,506,510
13,18,3,593,596
13,18,2,817,819
15,17,1,336,337
8,13,3,524,527
13,18,3,590,593
8,18,1,235,236
13,18,1,881,882
8,15,2,338,340
8,13,2,593,595
17,18,5,245,250
8,18,3,147,150
8,18,3,150,153
13,18,2,815,817
8,13,4,464,468
11,16,7,650,657
8,13,1,600,601
13,18,7,425,432
8,13,3,503,506
13,18,3,581,584
13,16,6,926,932
13,18,3,578,581
8,14,3,369,372
11,12,3,778,781
8,13,6,453,459
8,18,3,153,156
8,10,6,665,671
8,11,2,654,656
13,18,3,575,578
8,18,7,0,7
13,18,1,871,872
13,18,4,522,526
13,18,4,518,522
10,15,5,678,683
8,15,1,353,354
13,18,2,793,795
9,16,4,701,705
8,13,4,476,480
12,17,2,631,633
8,15,2,342,344
11,17,3,647,650
8,18,1,236,237
8,10,2,687,689
14,15,8,708,716
8,13,2,551,553
8,13,4,468,472
8,18,2,179,181
13,18,3,605,608
13,18,1,883,884
13,18,2,811,813
8,13,1,611,612
13,18,2,813,815
10,15,1,687,688
13,18,4,502,506
13,18,3,754,757
13,18,2,819,821
12,17,2,633,635
13,18,4,490,494
11,16,6,757,763
13,18,3,746,749
13,18,1,777,778
13,18,4,498,502
9,14,2,735,737
8,13,2,555,557
8,10,2,689,691
8,18,3,156,159
13,15,3,967,970
8,18,5,36,41
13,18,2,809,811
8,13,3,506,509
8,18,1,237,238
8,16,1,320,321
13,18,1,887,888
8,11,3,651,654
8,18,4,90,94
12,17,2,635,637
8,13,3,509,512
8,13,2,561,563
13,18,8,395,403
8,12,2,633,635
8,12,2,631,633
13,15,3,973,976
13,18,2,833,835
8,18,2,215,217
10,13,3,754,757
13,18,7,418,425
8,12,2,629,631
8,13,1,595,596
8,18,3,159,162
13,18,1,879,880
13,18,1,878,879
8,13,3,512,515
8,16,2,308,310
13,18,2,835,837
8,13,3,515,518
8,18,1,232,233
11,18,5,638,643
8,18,2,221,223
8,13,8,423,431
11,16,2,767,769
8,18,2,219,221
8,9,5,697,702
8,13,1,601,602
8,18,3,162,165
12,18,1,620,621
17,18,4,254,258
8,14,1,372,373
10,17,4,658,662
8,13,4,492,496
8,18,2,217,219
13,14,1,994,995
14,16,4,370,374
14,17,2,359,361
8,18,1,224,225
13,18,2,803,805
8,9,3,713,716
13,18,1,882,883
8,13,2,569,571
13,18,1,877,878
17,18,2,269,271
13,18,6,457,463
17,18,4,250,254
8,16,2,312,314
8,13,2,573,575
14,16,9,361,370
8,10,3,684,687
8,14,1,374,375
8,13,3,518,521
13,18,4,526,530
8,18,6,13,19
8,15,2,348,350
8,18,3,165,168
8,17,3,264,267
8,15,3,335,338
13,15,3,970,973
8,11,4,647,651
12,17,1,751,752
9,14,1,739,740
12,16,2,778,780
10,15,2,683,685
13,18,4,542,546
8,12,2,625,627
8,15,2,344,346
13,18,3,743,746
8,13,2,579,581
8,18,2,209,211
8,11,1,657,658
11,16,1,657,658
13,18,4,534,538
13,16,2,943,945
13,18,2,785,787
8,14,1,376,377
8,18,2,211,213
8,18,3,168,171
8,18,2,193,195
8,16,3,298,301
13,18,8,403,411
